股票代码,股票名称,市场,分类,类型
301101,明月镜片,A股,沪深A股,股票
000929,兰州黄河,A股,沪深A股,股票
688195,腾景科技,A股,沪深A股,股票
600702,舍得酒业,A股,沪深A股,股票
300438,鹏辉能源,A股,沪深A股,股票
300783,三只松鼠,A股,沪深A股,股票
600872,中炬高新,A股,沪深A股,股票
600392,盛和资源,A股,沪深A股,股票
605358,立昂微,A股,沪深A股,股票
300737,科顺股份,A股,沪深A股,股票
300856,科思股份,A股,沪深A股,股票
688676,金盘科技,A股,沪深A股,股票
300741,华宝股份,A股,沪深A股,股票
603171,税友股份,A股,沪深A股,股票
000819,岳阳兴长,A股,沪深A股,股票
300648,星云股份,A股,沪深A股,股票
603227,雪峰科技,A股,沪深A股,股票
688536,思瑞浦,A股,沪深A股,股票
002738,中矿资源,A股,沪深A股,股票
300973,立高食品,A股,沪深A股,股票
000069,华侨城Ａ,A股,沪深A股,股票
603103,横店影视,A股,沪深A股,股票
688408,中信博,A股,沪深A股,股票
000963,华东医药,A股,沪深A股,股票
002123,梦网科技,A股,沪深A股,股票
605337,李子园,A股,沪深A股,股票
603051,鹿山新材,A股,沪深A股,股票
002990,盛视科技,A股,沪深A股,股票
000793,华闻集团,A股,沪深A股,股票
002428,云南锗业,A股,沪深A股,股票
002149,西部材料,A股,沪深A股,股票
300268,佳沃食品,A股,沪深A股,股票
300587,天铁股份,A股,沪深A股,股票
000707,双环科技,A股,沪深A股,股票
603332,苏州龙杰,A股,沪深A股,股票
002650,加加食品,A股,沪深A股,股票
300274,阳光电源,A股,沪深A股,股票
601595,上海电影,A股,沪深A股,股票
603317,天味食品,A股,沪深A股,股票
300700,岱勒新材,A股,沪深A股,股票
600763,通策医疗,A股,沪深A股,股票
300573,兴齐眼药,A股,沪深A股,股票
002729,好利科技,A股,沪深A股,股票
605300,佳禾食品,A股,沪深A股,股票
301216,万凯新材,A股,沪深A股,股票
603688,石英股份,A股,沪深A股,股票
603606,东方电缆,A股,沪深A股,股票
603650,彤程新材,A股,沪深A股,股票
600054,黄山旅游,A股,沪深A股,股票
600206,有研新材,A股,沪深A股,股票
600559,老白干酒,A股,沪深A股,股票
600353,旭光电子,A股,沪深A股,股票
688281,华秦科技,A股,沪深A股,股票
002561,徐家汇,A股,沪深A股,股票
688063,派能科技,A股,沪深A股,股票
