股票代码,股票名称,市场,分类,类型
300724,捷佳伟创,A股,沪深A股,股票
300044,赛为智能,A股,沪深A股,股票
001208,华菱线缆,A股,沪深A股,股票
300400,劲拓股份,A股,沪深A股,股票
002307,北新路桥,A股,沪深A股,股票
600986,浙文互联,A股,沪深A股,股票
603045,福达合金,A股,沪深A股,股票
600353,旭光电子,A股,沪深A股,股票
300584,海辰药业,A股,沪深A股,股票
603871,嘉友国际,A股,沪深A股,股票
300805,电声股份,A股,沪深A股,股票
688202,美迪西,A股,沪深A股,股票
600518,ST康美,A股,沪深A股,股票
600854,春兰股份,A股,沪深A股,股票
300880,迦南智能,A股,沪深A股,股票
300284,苏交科,A股,沪深A股,股票
688768,容知日新,A股,沪深A股,股票
002422,科伦药业,A股,沪深A股,股票
002162,悦心健康,A股,沪深A股,股票
301126,达嘉维康,A股,沪深A股,股票
002429,兆驰股份,A股,沪深A股,股票
300939,秋田微,A股,沪深A股,股票
300683,海特生物,A股,沪深A股,股票
002776,ST柏龙,A股,沪深A股,股票
603067,振华股份,A股,沪深A股,股票
600290,ST华仪,A股,沪深A股,股票
300919,中伟股份,A股,沪深A股,股票
002112,三变科技,A股,沪深A股,股票
688131,皓元医药,A股,沪深A股,股票
300287,飞利信,A股,沪深A股,股票
300212,易华录,A股,沪深A股,股票
300020,银江技术,A股,沪深A股,股票
603339,四方科技,A股,沪深A股,股票
603477,巨星农牧,A股,沪深A股,股票
688311,盟升电子,A股,沪深A股,股票
688315,诺禾致源,A股,沪深A股,股票
600139,*ST西源,A股,沪深A股,股票
601918,新集能源,A股,沪深A股,股票
688165,埃夫特-U,A股,沪深A股,股票
600769,祥龙电业,A股,沪深A股,股票
000995,*ST皇台,A股,沪深A股,股票
600381,青海春天,A股,沪深A股,股票
603603,*ST博天,A股,沪深A股,股票
002076,*ST雪莱,A股,沪深A股,股票
300130,新国都,A股,沪深A股,股票
002079,苏州固锝,A股,沪深A股,股票
300199,翰宇药业,A股,沪深A股,股票
603139,康惠制药,A股,沪深A股,股票
300691,联合光电,A股,沪深A股,股票
002316,*ST亚联,A股,沪深A股,股票
600805,悦达投资,A股,沪深A股,股票
300753,爱朋医疗,A股,沪深A股,股票
300652,雷迪克,A股,沪深A股,股票
301047,义翘神州,A股,沪深A股,股票
300591,万里马,A股,沪深A股,股票
301182,凯旺科技,A股,沪深A股,股票
603007,ST花王,A股,沪深A股,股票
002377,国创高新,A股,沪深A股,股票
603848,好太太,A股,沪深A股,股票
000601,韶能股份,A股,沪深A股,股票
600528,中铁工业,A股,沪深A股,股票
688022,瀚川智能,A股,沪深A股,股票
688052,纳芯微,A股,沪深A股,股票
300670,大烨智能,A股,沪深A股,股票
300470,中密控股,A股,沪深A股,股票
300420,五洋停车,A股,沪深A股,股票
000632,三木集团,A股,沪深A股,股票
000695,滨海能源,A股,沪深A股,股票
688689,银河微电,A股,沪深A股,股票
600654,*ST中安,A股,沪深A股,股票
603986,兆易创新,A股,沪深A股,股票
000851,高鸿股份,A股,沪深A股,股票
301083,百胜智能,A股,沪深A股,股票
300548,博创科技,A股,沪深A股,股票
688320,禾川科技,A股,沪深A股,股票
600129,太极集团,A股,沪深A股,股票
002035,华帝股份,A股,沪深A股,股票
000682,东方电子,A股,沪深A股,股票
600351,亚宝药业,A股,沪深A股,股票
002657,中科金财,A股,沪深A股,股票
688093,世华科技,A股,沪深A股,股票
300043,星辉娱乐,A股,沪深A股,股票
000521,长虹美菱,A股,沪深A股,股票
002120,韵达股份,A股,沪深A股,股票
000571,ST大洲,A股,沪深A股,股票
002398,垒知集团,A股,沪深A股,股票
002693,双成药业,A股,沪深A股,股票
002623,亚玛顿,A股,沪深A股,股票
300071,福石控股,A股,沪深A股,股票
003028,振邦智能,A股,沪深A股,股票
300467,迅游科技,A股,沪深A股,股票
688508,芯朋微,A股,沪深A股,股票
002245,蔚蓝锂芯,A股,沪深A股,股票
300952,恒辉安防,A股,沪深A股,股票
600674,川投能源,A股,沪深A股,股票
000766,通化金马,A股,沪深A股,股票
300389,艾比森,A股,沪深A股,股票
688037,芯源微,A股,沪深A股,股票
300449,汉邦高科,A股,沪深A股,股票
300556,丝路视觉,A股,沪深A股,股票
688216,气派科技,A股,沪深A股,股票
688365,光云科技,A股,沪深A股,股票
603868,飞科电器,A股,沪深A股,股票
688677,海泰新光,A股,沪深A股,股票
603535,嘉诚国际,A股,沪深A股,股票
